交易日期,品種代碼,魚貨名稱,上價元/公斤,中價元/公斤,下價元/公斤,交易量公斤,交易量漲跌幅+(-)%,平均價元/公斤,平均價漲跌幅+(-)%
2018-12-27,1041,虱目魚,100.8,83.8,66.9,4363.9,-4.2,83.8,0.6
2018-12-26,1041,虱目魚,100.4,83.8,64.7,4556.4,14.8,83.3,-2.6
2018-12-25,1041,虱目魚,101.4,85.6,69.4,3968.3,0.0,85.5,0.0
2018-12-24,9999,休市,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-12-23,1041,虱目魚,100.5,87.1,67.6,4099.0,-0.7,85.8,1.7
2018-12-22,1041,虱目魚,101.3,85.2,65.3,4127.6,3.7,84.4,-1.7
2018-12-21,1041,虱目魚,110.0,83.6,68.7,3980.3,-15.9,85.9,1.2
2018-12-20,1041,虱目魚,101.8,85.6,65.8,4732.4,1.9,84.9,1.1
2018-12-19,1041,虱目魚,101.5,84.6,64.9,4646.4,4.4,84.0,-2.2
2018-12-18,1041,虱目魚,101.1,86.1,70.0,4452.1,0.0,85.9,0.0
2018-12-17,9999,休市,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-12-16,1041,虱目魚,101.0,82.8,60.6,4124.9,-6.9,82.0,0.0
2018-12-15,1041,虱目魚,102.0,80.4,66.5,4432.2,1.8,82.0,-2.5
2018-12-14,1041,虱目魚,101.7,83.5,68.3,4352.6,-8.2,84.1,9.5
2018-12-13,1041,虱目魚,100.2,77.9,50.2,4743.9,10.2,76.8,-4.1
2018-12-12,1041,虱目魚,100.0,79.6,61.8,4305.7,-8.1,80.1,-0.7
2018-12-11,1041,虱目魚,100.0,80.8,61.5,4683.0,0.0,80.7,0.0
2018-12-10,9999,休市,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-12-09,1041,虱目魚,100.7,76.6,56.8,4200.8,-5.4,77.5,-7.3
2018-12-08,1041,虱目魚,102.0,82.9,67.2,4440.2,-18.5,83.6,3.7
2018-12-07,1041,虱目魚,100.7,81.3,58.3,5450.6,23.6,80.6,-0.6
2018-12-06,1041,虱目魚,100.1,80.9,62.7,4410.9,3.3,81.1,0.6
2018-12-05,1041,虱目魚,100.0,79.9,63.2,4271.0,-8.7,80.6,-4.3
2018-12-04,1041,虱目魚,101.3,83.3,69.8,4676.3,0.0,84.2,0.0
2018-12-03,9999,休市,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-12-02,1041,虱目魚,100.2,83.3,68.6,4332.8,-2.5,83.7,0.7
2018-12-01,1041,虱目魚,101.0,81.8,69.0,4441.8,7.5,83.1,-0.4
2018-11-30,1041,虱目魚,100.6,82.6,68.4,4132.8,-1.7,83.4,4.5
2018-11-29,1041,虱目魚,100.0,79.1,61.5,4204.4,-1.2,79.8,-5.2
2018-11-28,1041,虱目魚,101.1,83.9,68.6,4254.2,-2.7,84.2,1.3
2018-11-27,1041,虱目魚,100.0,81.8,70.0,4373.1,0.0,83.1,0.0
2018-11-26,9999,休市,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-11-25,1041,虱目魚,100.7,82.1,69.9,3983.6,-7.7,83.4,4.5
2018-11-24,1041,虱目魚,102.1,76.2,68.4,4317.5,9.0,79.8,-4.3
2018-11-23,1041,虱目魚,100.4,82.5,69.0,3959.4,1.0,83.4,0.0
2018-11-22,1041,虱目魚,100.5,82.2,70.0,3919.7,15.5,83.4,0.2
2018-11-21,1041,虱目魚,100.7,82.6,67.3,3392.3,-15.1,83.2,0.4
2018-11-20,1041,虱目魚,100.7,81.2,70.0,3995.0,0.0,82.9,0.0
2018-11-19,9999,休市,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-11-18,1041,虱目魚,100.3,82.4,67.4,3967.7,12.2,83.0,3.9
2018-11-17,1041,虱目魚,100.6,76.8,68.2,3536.7,3.5,79.9,3.6
2018-11-16,1041,虱目魚,100.5,71.7,69.9,3418.2,0.4,77.1,0.0
2018-11-15,1041,虱目魚,100.5,71.9,69.2,3405.8,-10.1,77.1,-3.5
2018-11-14,1041,虱目魚,100.9,76.4,69.2,3788.9,-15.0,79.9,3.0
2018-11-13,1041,虱目魚,100.9,75.4,61.0,4456.6,0.0,77.6,0.0
2018-11-12,9999,休市,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-11-11,1041,虱目魚,101.2,74.0,56.6,4207.1,-9.5,76.0,-5.7
2018-11-10,1041,虱目魚,100.2,81.0,60.1,4646.9,25.3,80.6,1.3
2018-11-09,1041,虱目魚,101.0,76.7,66.9,3709.7,-6.8,79.6,-4.1
2018-11-08,1041,虱目魚,100.6,82.3,67.7,3980.8,-0.8,83.0,0.0
2018-11-07,1041,虱目魚,100.2,82.0,68.8,4013.1,-16.3,83.0,0.6
2018-11-06,1041,虱目魚,101.7,80.9,68.0,4794.9,0.0,82.5,0.0
2018-11-05,9999,休市,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-11-04,1041,虱目魚,108.0,80.6,69.7,3855.1,-32.7,83.1,-5.7
2018-11-03,1041,虱目魚,100.8,90.2,69.0,5724.5,25.0,88.1,12.1
2018-11-02,1041,虱目魚,100.1,78.6,57.2,4580.3,15.5,78.6,-6.7
2018-11-01,1041,虱目魚,100.0,83.7,70.0,3964.1,8.4,84.2,3.6
2018-10-31,1041,虱目魚,100.0,79.4,68.2,3657.6,-19.2,81.3,-2.4
2018-10-30,1041,虱目魚,101.5,81.8,69.7,4528.1,0.0,83.3,0.0
2018-10-29,9999,休市,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-28,1041,虱目魚,100.0,79.7,68.5,3923.3,-17.6,81.5,-0.2
2018-10-27,1041,虱目魚,100.0,80.0,68.6,4762.7,23.4,81.7,0.2
2018-10-26,1041,虱目魚,100.2,79.7,68.3,3858.4,4.7,81.5,0.4
2018-10-25,1041,虱目魚,100.0,79.0,68.9,3686.7,-1.2,81.2,2.5
2018-10-24,1041,虱目魚,100.2,75.5,69.3,3733.2,-14.8,79.2,-4.9
2018-10-23,1041,虱目魚,101.5,81.7,69.8,4382.3,0.0,83.3,0.0
2018-10-22,9999,休市,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-21,1041,虱目魚,100.2,80.9,67.8,4098.0,-3.0,82.1,-3.0
2018-10-20,1041,虱目魚,100.1,84.8,68.6,4225.8,5.3,84.6,1.0
2018-10-19,1041,虱目魚,100.0,83.6,68.5,4011.6,7.2,83.8,4.9
2018-10-18,1041,虱目魚,100.0,77.4,67.3,3742.1,-7.1,79.9,-0.6
2018-10-17,1041,虱目魚,100.3,77.9,68.1,4029.4,0.7,80.4,-8.2
2018-10-16,1041,虱目魚,100.1,89.8,68.7,4000.6,0.0,87.6,0.0
2018-10-15,9999,休市,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-14,1041,虱目魚,101.6,80.8,68.5,3878.4,-19.3,82.5,-1.9
2018-10-13,1041,虱目魚,100.2,83.8,69.2,4805.5,26.0,84.1,3.6
2018-10-12,1041,虱目魚,100.9,79.5,66.6,3813.2,-3.9,81.2,-0.4
2018-10-11,1041,虱目魚,101.1,79.4,68.1,3967.0,-9.8,81.5,-3.7
2018-10-10,1041,虱目魚,100.3,85.6,65.8,4397.7,13.8,84.6,-0.9
2018-10-09,1041,虱目魚,102.3,84.3,71.7,3863.1,0.0,85.4,0.0
2018-10-08,9999,休市,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-07,1041,虱目魚,102.0,85.2,63.6,4368.3,-10.3,84.3,1.4
2018-10-06,1041,虱目魚,103.3,81.1,68.8,4871.5,23.1,83.1,-0.6
2018-10-05,1041,虱目魚,100.8,84.5,63.9,3957.1,-5.5,83.6,1.0
2018-10-04,1041,虱目魚,100.9,81.4,69.0,4186.7,-4.4,82.8,1.0
2018-10-03,1041,虱目魚,101.7,80.9,65.7,4380.4,-5.5,82.0,-2.7
2018-10-02,1041,虱目魚,102.2,84.0,67.0,4633.4,0.0,84.3,0.0
2018-10-01,9999,休市,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-30,1041,虱目魚,101.8,83.9,68.2,4336.2,-4.1,84.3,-1.6
2018-09-29,1041,虱目魚,103.4,85.7,68.7,4520.3,8.9,85.7,1.5
2018-09-28,1041,虱目魚,102.0,83.4,70.0,4150.4,9.3,84.4,-0.8
2018-09-27,1041,虱目魚,102.3,84.3,70.0,3798.9,0.0,85.1,0.0
2018-09-26,9999,休市,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-25,9999,休市,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-24,9999,休市,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-23,1041,虱目魚,100.6,84.7,69.0,4013.3,-12.7,84.7,0.1
2018-09-22,1041,虱目魚,100.0,84.6,69.1,4598.8,14.0,84.6,2.2
2018-09-21,1041,虱目魚,100.0,81.9,68.3,4035.8,-13.8,82.8,-1.1
2018-09-20,1041,虱目魚,100.2,82.8,69.9,4681.9,10.7,83.7,2.4
2018-09-19,1041,虱目魚,100.3,79.9,68.6,4228.0,5.1,81.7,-1.3
2018-09-18,1041,虱目魚,101.4,81.0,69.7,4024.6,0.0,82.8,0.0
2018-09-17,9999,休市,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-16,1041,虱目魚,100.0,85.1,68.2,4329.5,1.5,84.7,1.0
2018-09-15,1041,虱目魚,100.4,83.5,68.6,4267.6,3.7,83.9,-0.2
2018-09-14,1041,虱目魚,100.0,83.8,69.0,4117.2,3.1,84.1,4.9
2018-09-13,1041,虱目魚,100.4,77.2,68.7,3993.1,-9.7,80.2,0.0
2018-09-12,1041,虱目魚,108.2,79.7,68.2,4423.2,-4.5,80.2,-7.8
2018-09-11,1041,虱目魚,108.7,86.7,66.5,4632.1,0.0,87.0,0.0
2018-09-10,9999,休市,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-09,1041,虱目魚,100.2,86.3,64.2,4689.0,3.4,84.7,1.4
2018-09-08,1041,虱目魚,100.7,82.6,69.1,4535.7,14.0,83.5,-2.0
2018-09-07,1041,虱目魚,100.3,85.3,70.0,3978.0,-9.9,85.2,1.5
2018-09-06,1041,虱目魚,101.8,82.8,69.0,4417.0,12.5,83.9,0.7
2018-09-05,1041,虱目魚,100.0,82.8,68.1,3925.0,-8.5,83.3,-0.8
2018-09-04,1041,虱目魚,100.3,83.3,69.7,4289.3,0.0,84.0,0.0
2018-09-03,9999,休市,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-02,1041,虱目魚,100.0,81.5,65.8,4006.4,-10.3,82.1,-2.8
2018-09-01,1041,虱目魚,101.6,84.8,66.2,4468.4,9.7,84.5,-3.2
2018-08-31,1041,虱目魚,100.1,86.4,77.5,4073.8,-9.5,87.3,2.6
2018-08-30,1041,虱目魚,100.0,85.4,69.1,4500.6,-5.4,85.1,1.4
2018-08-29,1041,虱目魚,100.5,83.4,68.6,4755.6,-9.9,83.9,2.4
2018-08-28,1041,虱目魚,102.2,79.0,70.0,5277.0,0.0,81.9,0.0
2018-08-27,9999,休市,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-26,9999,休市,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-25,1041,虱目魚,101.7,93.9,63.0,717.5,-82.1,89.3,7.5
2018-08-24,1041,虱目魚,100.1,82.2,69.1,4015.1,-9.3,83.1,-2.4
2018-08-23,1041,虱目魚,100.5,85.4,69.0,4424.7,4.8,85.1,3.4
2018-08-22,1041,虱目魚,100.2,81.5,66.9,4221.6,-7.1,82.3,-4.1
2018-08-21,1041,虱目魚,101.0,86.0,70.0,4546.3,0.0,85.8,0.0
2018-08-20,9999,休市,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-19,1041,虱目魚,101.3,79.1,67.9,3913.0,-13.1,81.3,-3.4
2018-08-18,1041,虱目魚,101.9,83.4,69.2,4502.0,0.3,84.2,0.7
2018-08-17,1041,虱目魚,100.8,83.1,67.6,4487.6,11.6,83.6,1.3
2018-08-16,1041,虱目魚,100.0,81.8,66.7,4022.0,-3.3,82.5,-1.9
2018-08-15,1041,虱目魚,101.3,83.4,68.9,4160.9,-16.1,84.1,2.9
2018-08-14,1041,虱目魚,101.5,81.8,61.6,4960.5,0.0,81.7,0.0
2018-08-13,9999,休市,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-12,1041,虱目魚,100.3,85.1,69.5,4308.6,0.9,85.0,2.4
2018-08-11,1041,虱目魚,100.0,82.2,68.5,4271.6,-0.5,83.0,2.1
2018-08-10,1041,虱目魚,100.1,80.6,64.9,4293.7,7.7,81.3,-2.6
2018-08-09,1041,虱目魚,100.0,82.5,70.0,3986.9,0.4,83.5,-1.3
2018-08-08,1041,虱目魚,100.0,84.3,70.0,3972.4,-0.9,84.6,0.4
2018-08-07,1041,虱目魚,100.0,83.8,70.0,4008.6,0.0,84.3,0.0
2018-08-06,9999,休市,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-05,1041,虱目魚,102.1,83.8,65.3,4391.8,-2.9,83.7,4.1
2018-08-04,1041,虱目魚,100.7,79.1,63.9,4524.4,25.6,80.4,1.6
2018-08-03,1041,虱目魚,100.3,75.1,70.0,3601.4,0.4,79.1,-1.9
